Date,Price,Quatity Sold
Dec 03 2020 01: +0,1.49,56006
Dec 04 2020 01: +0,1.025,336851
Dec 05 2020 01: +0,1.006,223025
Dec 06 2020 01: +0,0.993,167205
Dec 07 2020 01: +0,0.983,127225
Dec 08 2020 01: +0,0.965,111169
Dec 09 2020 01: +0,0.885,105097
Dec 10 2020 01: +0,0.955,77889
Dec 11 2020 01: +0,0.969,98714
Dec 12 2020 01: +0,0.976,102761
Dec 13 2020 01: +0,0.969,84790
Dec 14 2020 01: +0,0.969,70959
Dec 15 2020 01: +0,0.959,89730
Dec 16 2020 01: +0,0.904,107899
Dec 17 2020 01: +0,0.946,86815
Dec 18 2020 01: +0,0.959,95672
Dec 19 2020 01: +0,0.963,92947
Dec 20 2020 01: +0,0.961,84582
Dec 21 2020 01: +0,0.959,82813
Dec 22 2020 01: +0,0.951,85556
Dec 23 2020 01: +0,0.91,104498
Dec 24 2020 01: +0,0.935,79357
Dec 25 2020 01: +0,0.948,74837
Dec 26 2020 01: +0,0.946,68372
Dec 27 2020 01: +0,0.941,49744
Dec 28 2020 01: +0,0.939,56811
Dec 29 2020 01: +0,0.933,66243
Dec 30 2020 01: +0,0.837,99083
Dec 31 2020 01: +0,0.886,76592
Jan 01 2021 01: +0,0.911,73272
Jan 02 2021 01: +0,0.912,63907
Jan 03 2021 01: +0,0.908,57395
Jan 04 2021 01: +0,0.908,54308
Jan 05 2021 01: +0,0.908,60454
Jan 06 2021 01: +0,0.83,95293
Jan 07 2021 01: +0,0.853,72242
Jan 08 2021 01: +0,0.872,72764
Jan 09 2021 01: +0,0.895,76680
Jan 10 2021 01: +0,0.908,69736
Jan 11 2021 01: +0,0.907,60640
Jan 12 2021 01: +0,0.897,72328
Jan 13 2021 01: +0,0.848,109653
Jan 14 2021 01: +0,0.858,78383
Jan 15 2021 01: +0,0.872,74023
Jan 16 2021 01: +0,0.878,76171
Jan 17 2021 01: +0,0.883,68772
Jan 18 2021 01: +0,0.879,65120
Jan 19 2021 01: +0,0.869,75883
Jan 20 2021 01: +0,0.816,109784
Jan 21 2021 01: +0,0.814,79046
Jan 22 2021 01: +0,0.811,77486
Jan 23 2021 01: +0,0.807,78434
Jan 24 2021 01: +0,0.804,73625
Jan 25 2021 01: +0,0.787,72321
Jan 26 2021 01: +0,0.764,90140
Jan 27 2021 01: +0,0.705,120800
Jan 28 2021 01: +0,0.659,141370
Jan 29 2021 01: +0,0.68,98976
Jan 30 2021 01: +0,0.717,89026
Jan 31 2021 01: +0,0.72,74900
Feb 01 2021 01: +0,0.722,76271
Feb 02 2021 01: +0,0.717,86453
Feb 03 2021 01: +0,0.679,126290
Feb 04 2021 01: +0,0.703,100731
Feb 05 2021 01: +0,0.714,94920
Feb 06 2021 01: +0,0.729,91714
Feb 07 2021 01: +0,0.729,75417
Feb 08 2021 01: +0,0.724,70563
Feb 09 2021 01: +0,0.719,89739
Feb 10 2021 01: +0,0.694,132480
Feb 11 2021 01: +0,0.704,114190
Feb 12 2021 01: +0,0.699,94179
Feb 13 2021 01: +0,0.697,98208
Feb 14 2021 01: +0,0.691,85404
Feb 15 2021 01: +0,0.686,83397
Feb 16 2021 01: +0,0.675,88882
Feb 17 2021 01: +0,0.637,123982
Feb 18 2021 01: +0,0.642,103198
Feb 19 2021 01: +0,0.665,100665
Feb 20 2021 01: +0,0.685,102360
Feb 21 2021 01: +0,0.698,90090
Feb 22 2021 01: +0,0.714,86203
Feb 23 2021 01: +0,0.731,106919
Feb 24 2021 01: +0,0.712,167022
Feb 25 2021 01: +0,0.734,135827
Feb 26 2021 01: +0,0.758,129088
Feb 27 2021 01: +0,0.773,126829
Feb 28 2021 01: +0,0.783,118276
Mar 01 2021 01: +0,0.816,115927
Mar 02 2021 01: +0,0.859,154643
Mar 03 2021 01: +0,0.833,212027
Mar 04 2021 01: +0,0.812,145610
Mar 05 2021 01: +0,0.826,162285
Mar 06 2021 01: +0,0.849,167498
Mar 07 2021 01: +0,0.856,151442
Mar 08 2021 01: +0,0.85,137150
Mar 09 2021 01: +0,0.839,169350
Mar 10 2021 01: +0,0.809,224689
Mar 11 2021 01: +0,0.818,186595
Mar 12 2021 01: +0,0.824,185279
Mar 13 2021 01: +0,0.827,183304
Mar 14 2021 01: +0,0.822,156355
Mar 15 2021 01: +0,0.8,144580
Mar 16 2021 01: +0,0.779,184672
Mar 17 2021 01: +0,0.774,311639
Mar 18 2021 01: +0,0.768,222514
Mar 19 2021 01: +0,0.762,224169
Mar 20 2021 01: +0,0.752,208360
Mar 21 2021 01: +0,0.742,189357
Mar 22 2021 01: +0,0.738,176495
Mar 23 2021 01: +0,0.773,200770
Mar 24 2021 01: +0,0.809,180792
Mar 25 2021 01: +0,0.808,166453
Mar 26 2021 01: +0,0.794,176090
Mar 27 2021 01: +0,0.792,167321
Mar 28 2021 01: +0,0.787,171579
Mar 29 2021 01: +0,0.785,159678
Mar 30 2021 01: +0,0.775,153070
Mar 31 2021 01: +0,0.774,163349
Apr 01 2021 01: +0,0.782,161430
Apr 02 2021 01: +0,0.785,189561
Apr 03 2021 01: +0,0.785,183175
Apr 04 2021 01: +0,0.79,174188
Apr 05 2021 01: +0,0.79,173188
Apr 06 2021 01: +0,0.805,176189
Apr 07 2021 01: +0,0.771,155359
Apr 08 2021 01: +0,0.692,131933
Apr 09 2021 01: +0,0.72,225404
Apr 10 2021 01: +0,0.702,190028
Apr 11 2021 01: +0,0.661,138456
Apr 12 2021 01: +0,0.673,165136
Apr 13 2021 01: +0,0.666,172234
Apr 14 2021 01: +0,0.678,66903
Apr 15 2021 01: +0,0.678,223440
Apr 16 2021 01: +0,0.695,200207
Apr 17 2021 01: +0,0.762,207681
Apr 18 2021 01: +0,0.753,146165
Apr 19 2021 01: +0,0.76,197167
Apr 20 2021 01: +0,0.769,173332
Apr 21 2021 01: +0,0.791,211225
Apr 22 2021 01: +0,0.866,168084
Apr 23 2021 01: +0,0.898,124719
Apr 24 2021 01: +0,0.922,99573
Apr 25 2021 01: +0,0.915,118598
Apr 26 2021 01: +0,0.905,115604
Apr 27 2021 01: +0,0.9,108249
Apr 28 2021 01: +0,0.901,119861
Apr 29 2021 01: +0,0.926,166597
Apr 30 2021 01: +0,0.962,142906
May 01 2021 01: +0,0.92,109575
May 02 2021 01: +0,0.87,114739
May 03 2021 01: +0,0.843,211755
May 04 2021 01: +0,0.634,390356
May 05 2021 01: +0,0.627,153608
May 06 2021 01: +0,0.584,206875
May 07 2021 01: +0,0.534,250379
May 08 2021 01: +0,0.547,148198
May 09 2021 01: +0,0.533,121311
May 10 2021 01: +0,0.525,110048
May 11 2021 01: +0,0.514,132341
May 12 2021 01: +0,0.522,113609
May 13 2021 01: +0,0.607,109479
May 14 2021 01: +0,0.649,75227
May 15 2021 01: +0,0.653,65381
May 16 2021 01: +0,0.627,64079
May 17 2021 01: +0,0.603,60659
May 18 2021 01: +0,0.602,53614
May 19 2021 01: +0,0.6,50970
May 20 2021 01: +0,0.586,52308
May 21 2021 01: +0,0.564,75001
May 22 2021 01: +0,0.582,57399
May 23 2021 01: +0,0.594,59797
May 24 2021 01: +0,0.592,53486
May 25 2021 01: +0,0.59,54206
May 26 2021 01: +0,0.601,58587
May 27 2021 01: +0,0.615,56894
May 28 2021 01: +0,0.647,59909
May 29 2021 01: +0,0.676,62706
May 30 2021 01: +0,0.701,49183
May 31 2021 01: +0,0.703,53608
Jun 01 2021 01: +0,0.699,46650
Jun 02 2021 01: +0,0.683,48827
Jun 03 2021 01: +0,0.666,48310
Jun 04 2021 01: +0,0.664,74119
Jun 05 2021 01: +0,0.707,76179
Jun 06 2021 01: +0,0.706,42222
Jun 07 2021 01: +0,0.7,35349
Jun 08 2021 01: +0,0.692,35174
Jun 09 2021 01: +0,0.693,35051
Jun 10 2021 01: +0,0.704,43921
Jun 11 2021 01: +0,0.71,42013
Jun 12 2021 01: +0,0.716,40256
Jun 13 2021 01: +0,0.717,39683
Jun 14 2021 01: +0,0.726,37705
Jun 15 2021 01: +0,0.734,40087
Jun 16 2021 01: +0,0.747,30336
Jun 17 2021 01: +0,0.747,29290
Jun 18 2021 01: +0,0.746,34674
Jun 19 2021 01: +0,0.755,36176
Jun 20 2021 01: +0,0.75,29407
Jun 21 2021 01: +0,0.729,27793
Jun 22 2021 01: +0,0.696,33352
Jun 23 2021 01: +0,0.674,29753
Jun 24 2021 01: +0,0.629,36779
Jun 25 2021 01: +0,0.626,33839
Jun 26 2021 01: +0,0.642,25269
Jun 27 2021 01: +0,0.663,23211
Jun 28 2021 01: +0,0.672,25056
Jun 29 2021 01: +0,0.665,25650
Jun 30 2021 01: +0,0.651,24458
Jul 01 2021 01: +0,0.667,28306
Jul 02 2021 01: +0,0.673,23837
Jul 03 2021 01: +0,0.674,25939
Jul 04 2021 01: +0,0.651,18584
Jul 05 2021 01: +0,0.653,20424
Jul 06 2021 01: +0,0.646,18447
Jul 07 2021 01: +0,0.632,22469
Jul 08 2021 01: +0,0.627,22948
Jul 09 2021 01: +0,0.617,19693
Jul 10 2021 01: +0,0.614,18110
Jul 11 2021 01: +0,0.607,19107
Jul 12 2021 01: +0,0.593,23273
Jul 13 2021 01: +0,0.598,14447
Jul 14 2021 01: +0,0.566,24569
Jul 15 2021 01: +0,0.561,21863
Jul 16 2021 01: +0,0.579,17228
Jul 17 2021 01: +0,0.579,17840
Jul 18 2021 01: +0,0.578,17693
Jul 19 2021 01: +0,0.573,16517
Jul 20 2021 01: +0,0.567,17764
Jul 21 2021 01: +0,0.56,17948
Jul 22 2021 01: +0,0.547,25893
Jul 23 2021 01: +0,0.548,21515
Jul 24 2021 01: +0,0.555,18413
Jul 25 2021 01: +0,0.568,19237
Jul 26 2021 01: +0,0.561,15543
Jul 27 2021 01: +0,0.565,13044
Jul 28 2021 01: +0,0.562,18235
Jul 29 2021 01: +0,0.566,17050
Jul 30 2021 01: +0,0.566,17065
Jul 31 2021 01: +0,0.572,16328
Aug 01 2021 01: +0,0.568,14971
Aug 02 2021 01: +0,0.56,16840
Aug 03 2021 01: +0,0.552,17586
Aug 04 2021 01: +0,0.544,18336
Aug 05 2021 01: +0,0.54,14933
Aug 06 2021 01: +0,0.53,23108
Aug 07 2021 01: +0,0.524,18822
Aug 08 2021 01: +0,0.52,18028
Aug 09 2021 01: +0,0.493,24884
Aug 10 2021 01: +0,0.485,18418
Aug 11 2021 01: +0,0.496,14402
Aug 12 2021 01: +0,0.506,11892
Aug 13 2021 01: +0,0.505,13232
Aug 14 2021 01: +0,0.515,9729
Aug 14 2021 19: +0,0.52,632
Aug 14 2021 20: +0,0.512,525
Aug 14 2021 21: +0,0.51,700
Aug 14 2021 22: +0,0.494,275
Aug 14 2021 23: +0,0.5,489
Aug 15 2021 00: +0,0.529,1147
Aug 15 2021 01: +0,0.473,1323
Aug 15 2021 02: +0,0.512,506
Aug 15 2021 03: +0,0.518,305
Aug 15 2021 04: +0,0.52,650
Aug 15 2021 05: +0,0.53,311
Aug 15 2021 06: +0,0.53,452
Aug 15 2021 07: +0,0.524,221
Aug 15 2021 08: +0,0.53,568
Aug 15 2021 09: +0,0.512,814
Aug 15 2021 10: +0,0.526,1007
Aug 15 2021 11: +0,0.517,425
Aug 15 2021 12: +0,0.517,544
Aug 15 2021 13: +0,0.52,538
Aug 15 2021 14: +0,0.506,689
Aug 15 2021 15: +0,0.517,733
Aug 15 2021 16: +0,0.517,728
Aug 15 2021 17: +0,0.522,690
Aug 15 2021 18: +0,0.537,980
Aug 15 2021 19: +0,0.53,589
Aug 15 2021 20: +0,0.53,840
Aug 15 2021 21: +0,0.482,542
Aug 15 2021 22: +0,0.5,314
Aug 15 2021 23: +0,0.517,399
Aug 16 2021 00: +0,0.529,294
Aug 16 2021 01: +0,0.516,201
Aug 16 2021 02: +0,0.53,418
Aug 16 2021 03: +0,0.53,438
Aug 16 2021 04: +0,0.533,293
Aug 16 2021 05: +0,0.529,385
Aug 16 2021 06: +0,0.52,303
Aug 16 2021 07: +0,0.503,263
Aug 16 2021 08: +0,0.521,526
Aug 16 2021 09: +0,0.526,540
Aug 16 2021 10: +0,0.524,506
Aug 16 2021 11: +0,0.52,663
Aug 16 2021 12: +0,0.52,706
Aug 16 2021 13: +0,0.506,415
Aug 16 2021 14: +0,0.501,783
Aug 16 2021 15: +0,0.511,624
Aug 16 2021 16: +0,0.507,586
Aug 16 2021 17: +0,0.494,570
Aug 16 2021 18: +0,0.5,507
Aug 16 2021 19: +0,0.5,610
Aug 16 2021 20: +0,0.506,743
Aug 16 2021 21: +0,0.494,568
Aug 16 2021 22: +0,0.483,316
Aug 16 2021 23: +0,0.5,262
Aug 17 2021 00: +0,0.508,361
Aug 17 2021 01: +0,0.494,132
Aug 17 2021 02: +0,0.51,168
Aug 17 2021 03: +0,0.507,151
Aug 17 2021 04: +0,0.501,196
Aug 17 2021 05: +0,0.51,278
Aug 17 2021 06: +0,0.5,150
Aug 17 2021 07: +0,0.5,313
Aug 17 2021 08: +0,0.509,497
Aug 17 2021 09: +0,0.506,396
Aug 17 2021 10: +0,0.506,705
Aug 17 2021 11: +0,0.49,379
Aug 17 2021 12: +0,0.48,474
Aug 17 2021 13: +0,0.503,735
Aug 17 2021 14: +0,0.506,344
Aug 17 2021 15: +0,0.506,844
Aug 17 2021 16: +0,0.494,556
Aug 17 2021 17: +0,0.494,634
Aug 17 2021 18: +0,0.501,714
Aug 17 2021 19: +0,0.508,438
Aug 17 2021 20: +0,0.477,394
Aug 17 2021 21: +0,0.474,477
Aug 17 2021 22: +0,0.469,352
Aug 17 2021 23: +0,0.469,444
Aug 18 2021 00: +0,0.493,240
Aug 18 2021 01: +0,0.5,278
Aug 18 2021 02: +0,0.509,296
Aug 18 2021 03: +0,0.502,186
Aug 18 2021 04: +0,0.506,176
Aug 18 2021 05: +0,0.5,286
Aug 18 2021 06: +0,0.499,386
Aug 18 2021 07: +0,0.49,306
Aug 18 2021 08: +0,0.479,278
Aug 18 2021 09: +0,0.473,490
Aug 18 2021 10: +0,0.478,397
Aug 18 2021 11: +0,0.483,522
Aug 18 2021 12: +0,0.479,506
Aug 18 2021 13: +0,0.49,391
Aug 18 2021 14: +0,0.5,762
Aug 18 2021 15: +0,0.498,649
Aug 18 2021 16: +0,0.499,1065
Aug 18 2021 17: +0,0.496,654
Aug 18 2021 18: +0,0.481,541
Aug 18 2021 19: +0,0.473,435
Aug 18 2021 20: +0,0.472,534
Aug 18 2021 21: +0,0.46,887
Aug 18 2021 22: +0,0.468,457
Aug 18 2021 23: +0,0.467,445
Aug 19 2021 00: +0,0.46,322
Aug 19 2021 01: +0,0.47,227
Aug 19 2021 02: +0,0.47,492
Aug 19 2021 03: +0,0.47,652
Aug 19 2021 04: +0,0.48,378
Aug 19 2021 05: +0,0.484,475
Aug 19 2021 06: +0,0.48,432
Aug 19 2021 07: +0,0.5,390
Aug 19 2021 08: +0,0.48,241
Aug 19 2021 09: +0,0.461,526
Aug 19 2021 10: +0,0.475,322
Aug 19 2021 11: +0,0.47,496
Aug 19 2021 12: +0,0.47,446
Aug 19 2021 13: +0,0.48,511
Aug 19 2021 14: +0,0.47,752
Aug 19 2021 15: +0,0.475,835
Aug 19 2021 16: +0,0.475,878
Aug 19 2021 17: +0,0.495,708
Aug 19 2021 18: +0,0.489,581
Aug 19 2021 19: +0,0.472,540
Aug 19 2021 20: +0,0.465,567
Aug 19 2021 21: +0,0.462,557
Aug 19 2021 22: +0,0.47,446
Aug 19 2021 23: +0,0.468,515
Aug 20 2021 00: +0,0.472,445
Aug 20 2021 01: +0,0.474,389
Aug 20 2021 02: +0,0.48,277
Aug 20 2021 03: +0,0.485,415
Aug 20 2021 04: +0,0.49,523
Aug 20 2021 05: +0,0.495,375
Aug 20 2021 06: +0,0.496,260
Aug 20 2021 07: +0,0.5,449
Aug 20 2021 08: +0,0.49,311
Aug 20 2021 09: +0,0.482,415
Aug 20 2021 10: +0,0.48,437
Aug 20 2021 11: +0,0.491,614
Aug 20 2021 12: +0,0.483,517
Aug 20 2021 13: +0,0.49,543
Aug 20 2021 14: +0,0.498,1046
Aug 20 2021 15: +0,0.5,1081
Aug 20 2021 16: +0,0.485,552
Aug 20 2021 17: +0,0.495,688
Aug 20 2021 18: +0,0.494,589
Aug 20 2021 19: +0,0.479,864
Aug 20 2021 20: +0,0.479,619
Aug 20 2021 21: +0,0.477,582
Aug 20 2021 22: +0,0.484,591
Aug 20 2021 23: +0,0.479,491
Aug 21 2021 00: +0,0.48,232
Aug 21 2021 01: +0,0.483,265
Aug 21 2021 02: +0,0.49,338
Aug 21 2021 03: +0,0.49,318
Aug 21 2021 04: +0,0.5,438
Aug 21 2021 05: +0,0.496,249
Aug 21 2021 06: +0,0.496,257
Aug 21 2021 07: +0,0.499,502
Aug 21 2021 08: +0,0.499,518
Aug 21 2021 09: +0,0.49,357
Aug 21 2021 10: +0,0.479,432
Aug 21 2021 11: +0,0.496,590
Aug 21 2021 12: +0,0.49,488
Aug 21 2021 13: +0,0.482,561
Aug 21 2021 14: +0,0.495,594
Aug 21 2021 15: +0,0.5,727
Aug 21 2021 16: +0,0.49,615
Aug 21 2021 17: +0,0.482,419
Aug 21 2021 18: +0,0.485,792
Aug 21 2021 19: +0,0.49,778
Aug 21 2021 20: +0,0.494,566
Aug 21 2021 21: +0,0.48,500
Aug 21 2021 22: +0,0.48,523
Aug 21 2021 23: +0,0.488,484
Aug 22 2021 00: +0,0.467,431
Aug 22 2021 01: +0,0.49,477
Aug 22 2021 02: +0,0.49,260
Aug 22 2021 03: +0,0.498,312
Aug 22 2021 04: +0,0.494,479
Aug 22 2021 05: +0,0.5,717
Aug 22 2021 06: +0,0.5,496
Aug 22 2021 07: +0,0.5,796
Aug 22 2021 08: +0,0.5,459
Aug 22 2021 09: +0,0.5,518
Aug 22 2021 10: +0,0.5,339
Aug 22 2021 11: +0,0.488,468
Aug 22 2021 12: +0,0.496,532
Aug 22 2021 13: +0,0.492,565
Aug 22 2021 14: +0,0.49,646
Aug 22 2021 15: +0,0.49,800
Aug 22 2021 16: +0,0.496,480
Aug 22 2021 17: +0,0.496,681
Aug 22 2021 18: +0,0.492,702
Aug 22 2021 19: +0,0.5,847
Aug 22 2021 20: +0,0.47,1240
Aug 22 2021 21: +0,0.483,626
Aug 22 2021 22: +0,0.499,732
Aug 22 2021 23: +0,0.497,360
Aug 23 2021 00: +0,0.497,374
Aug 23 2021 01: +0,0.498,436
Aug 23 2021 02: +0,0.51,381
Aug 23 2021 03: +0,0.506,348
Aug 23 2021 04: +0,0.506,207
Aug 23 2021 05: +0,0.507,371
Aug 23 2021 06: +0,0.5,369
Aug 23 2021 07: +0,0.496,242
Aug 23 2021 08: +0,0.499,412
Aug 23 2021 09: +0,0.499,465
Aug 23 2021 10: +0,0.498,409
Aug 23 2021 11: +0,0.489,455
Aug 23 2021 12: +0,0.492,490
Aug 23 2021 13: +0,0.489,454
Aug 23 2021 14: +0,0.499,789
Aug 23 2021 15: +0,0.49,1029
Aug 23 2021 16: +0,0.49,840
Aug 23 2021 17: +0,0.504,956
Aug 23 2021 18: +0,0.502,582
Aug 23 2021 19: +0,0.49,372
Aug 23 2021 20: +0,0.47,557
Aug 23 2021 21: +0,0.48,456
Aug 23 2021 22: +0,0.466,327
Aug 23 2021 23: +0,0.47,311
Aug 24 2021 00: +0,0.498,502
Aug 24 2021 01: +0,0.47,280
Aug 24 2021 02: +0,0.462,250
Aug 24 2021 03: +0,0.5,313
Aug 24 2021 04: +0,0.5,344
Aug 24 2021 05: +0,0.5,427
Aug 24 2021 06: +0,0.499,226
Aug 24 2021 07: +0,0.5,441
Aug 24 2021 08: +0,0.497,304
Aug 24 2021 09: +0,0.5,760
Aug 24 2021 10: +0,0.495,364
Aug 24 2021 11: +0,0.492,380
