Date,Price,Quatity Sold
Aug 24 2021 12: +0,0.5,509
Aug 24 2021 13: +0,0.492,475
Aug 24 2021 14: +0,0.484,612
Aug 24 2021 15: +0,0.469,542
Aug 24 2021 16: +0,0.47,362
Aug 24 2021 17: +0,0.469,784
Aug 24 2021 18: +0,0.479,609
Aug 24 2021 19: +0,0.47,577
Aug 24 2021 20: +0,0.462,385
Aug 24 2021 21: +0,0.457,490
Aug 24 2021 22: +0,0.457,467
Aug 24 2021 23: +0,0.451,716
Aug 25 2021 00: +0,0.459,371
Aug 25 2021 01: +0,0.482,174
Aug 25 2021 02: +0,0.49,178
Aug 25 2021 03: +0,0.49,343
Aug 25 2021 04: +0,0.49,197
Aug 25 2021 05: +0,0.472,222
Aug 25 2021 06: +0,0.482,310
Aug 25 2021 07: +0,0.49,417
Aug 25 2021 08: +0,0.489,575
Aug 25 2021 09: +0,0.479,460
Aug 25 2021 10: +0,0.479,728
Aug 25 2021 11: +0,0.5,661
Aug 25 2021 12: +0,0.498,595
Aug 25 2021 13: +0,0.493,537
Aug 25 2021 14: +0,0.466,555
Aug 25 2021 15: +0,0.478,683
Aug 25 2021 16: +0,0.486,759
Aug 25 2021 17: +0,0.482,840
Aug 25 2021 18: +0,0.487,744
Aug 25 2021 19: +0,0.482,503
Aug 25 2021 20: +0,0.482,559
Aug 25 2021 21: +0,0.481,408
Aug 25 2021 22: +0,0.486,391
Aug 25 2021 23: +0,0.481,263
Aug 26 2021 00: +0,0.48,294
Aug 26 2021 01: +0,0.496,341
Aug 26 2021 02: +0,0.494,287
Aug 26 2021 03: +0,0.496,352
Aug 26 2021 04: +0,0.49,274
Aug 26 2021 05: +0,0.49,208
Aug 26 2021 06: +0,0.49,220
Aug 26 2021 07: +0,0.49,350
Aug 26 2021 08: +0,0.464,151
Aug 26 2021 09: +0,0.47,196
Aug 26 2021 10: +0,0.481,664
Aug 26 2021 11: +0,0.486,550
Aug 26 2021 12: +0,0.471,336
Aug 26 2021 13: +0,0.464,505
Aug 26 2021 14: +0,0.469,780
Aug 26 2021 15: +0,0.481,441
Aug 26 2021 16: +0,0.469,671
Aug 26 2021 17: +0,0.477,643
Aug 26 2021 18: +0,0.469,501
Aug 26 2021 19: +0,0.46,643
Aug 26 2021 20: +0,0.469,373
Aug 26 2021 21: +0,0.458,468
Aug 26 2021 22: +0,0.458,393
Aug 26 2021 23: +0,0.447,261
Aug 27 2021 00: +0,0.462,194
Aug 27 2021 01: +0,0.458,519
Aug 27 2021 02: +0,0.48,271
Aug 27 2021 03: +0,0.454,165
Aug 27 2021 04: +0,0.48,247
Aug 27 2021 05: +0,0.49,483
Aug 27 2021 06: +0,0.482,304
Aug 27 2021 07: +0,0.482,494
Aug 27 2021 08: +0,0.48,579
Aug 27 2021 09: +0,0.471,440
Aug 27 2021 10: +0,0.482,458
Aug 27 2021 11: +0,0.471,750
Aug 27 2021 12: +0,0.48,558
Aug 27 2021 13: +0,0.49,536
Aug 27 2021 14: +0,0.472,516
Aug 27 2021 15: +0,0.48,803
Aug 27 2021 16: +0,0.482,591
Aug 27 2021 17: +0,0.477,556
Aug 27 2021 18: +0,0.482,552
Aug 27 2021 19: +0,0.487,577
Aug 27 2021 20: +0,0.474,618
Aug 27 2021 21: +0,0.481,720
Aug 27 2021 22: +0,0.469,552
Aug 27 2021 23: +0,0.469,366
Aug 28 2021 00: +0,0.479,465
Aug 28 2021 01: +0,0.46,631
Aug 28 2021 02: +0,0.463,685
Aug 28 2021 03: +0,0.469,671
Aug 28 2021 04: +0,0.497,543
Aug 28 2021 05: +0,0.499,651
Aug 28 2021 06: +0,0.499,538
Aug 28 2021 07: +0,0.499,537
Aug 28 2021 08: +0,0.49,748
Aug 28 2021 09: +0,0.49,605
Aug 28 2021 10: +0,0.481,669
Aug 28 2021 11: +0,0.472,490
Aug 28 2021 12: +0,0.482,795
Aug 28 2021 13: +0,0.481,1076
Aug 28 2021 14: +0,0.481,426
Aug 28 2021 15: +0,0.482,681
Aug 28 2021 16: +0,0.48,666
Aug 28 2021 17: +0,0.477,553
Aug 28 2021 18: +0,0.481,351
Aug 28 2021 19: +0,0.469,499
Aug 28 2021 20: +0,0.471,665
Aug 28 2021 21: +0,0.46,511
Aug 28 2021 22: +0,0.469,595
Aug 28 2021 23: +0,0.469,364
Aug 29 2021 00: +0,0.469,429
Aug 29 2021 01: +0,0.481,446
Aug 29 2021 02: +0,0.49,247
Aug 29 2021 03: +0,0.5,325
Aug 29 2021 04: +0,0.491,294
Aug 29 2021 05: +0,0.49,255
Aug 29 2021 06: +0,0.49,336
Aug 29 2021 07: +0,0.485,601
Aug 29 2021 08: +0,0.498,399
Aug 29 2021 09: +0,0.49,414
Aug 29 2021 10: +0,0.485,384
Aug 29 2021 11: +0,0.474,264
Aug 29 2021 12: +0,0.469,341
Aug 29 2021 13: +0,0.469,508
Aug 29 2021 14: +0,0.472,709
Aug 29 2021 15: +0,0.48,716
Aug 29 2021 16: +0,0.481,660
Aug 29 2021 17: +0,0.486,813
Aug 29 2021 18: +0,0.482,632
Aug 29 2021 19: +0,0.485,503
Aug 29 2021 20: +0,0.481,596
Aug 29 2021 21: +0,0.481,466
Aug 29 2021 22: +0,0.47,88
Aug 29 2021 23: +0,0.47,589
Aug 30 2021 00: +0,0.48,405
Aug 30 2021 01: +0,0.49,231
Aug 30 2021 02: +0,0.485,186
Aug 30 2021 03: +0,0.477,602
Aug 30 2021 04: +0,0.48,436
Aug 30 2021 05: +0,0.48,240
Aug 30 2021 06: +0,0.49,250
Aug 30 2021 07: +0,0.471,303
Aug 30 2021 08: +0,0.481,371
Aug 30 2021 09: +0,0.49,544
Aug 30 2021 10: +0,0.481,405
Aug 30 2021 11: +0,0.47,428
Aug 30 2021 12: +0,0.472,557
Aug 30 2021 13: +0,0.471,731
Aug 30 2021 14: +0,0.496,1114
Aug 30 2021 15: +0,0.471,670
Aug 30 2021 16: +0,0.472,1083
Aug 30 2021 17: +0,0.493,940
Aug 30 2021 18: +0,0.498,1862
Aug 30 2021 19: +0,0.493,743
Aug 30 2021 20: +0,0.481,459
Aug 30 2021 21: +0,0.49,222
Aug 30 2021 22: +0,0.488,114
Aug 30 2021 23: +0,0.495,314
Aug 31 2021 00: +0,0.496,517
Aug 31 2021 01: +0,0.495,590
Aug 31 2021 02: +0,0.488,610
Aug 31 2021 03: +0,0.49,738
Aug 31 2021 04: +0,0.492,337
Aug 31 2021 05: +0,0.493,487
Aug 31 2021 06: +0,0.493,400
Aug 31 2021 07: +0,0.49,374
Aug 31 2021 08: +0,0.483,990
Aug 31 2021 09: +0,0.483,510
Aug 31 2021 10: +0,0.483,922
Aug 31 2021 11: +0,0.493,449
Aug 31 2021 12: +0,0.482,612
Aug 31 2021 13: +0,0.49,704
Aug 31 2021 14: +0,0.483,554
Aug 31 2021 15: +0,0.47,563
Aug 31 2021 16: +0,0.48,825
Aug 31 2021 17: +0,0.48,618
Aug 31 2021 18: +0,0.472,686
Aug 31 2021 19: +0,0.484,717
Aug 31 2021 20: +0,0.5,2602
Aug 31 2021 21: +0,0.485,589
Aug 31 2021 22: +0,0.473,359
Aug 31 2021 23: +0,0.473,409
Sep 01 2021 00: +0,0.473,214
Sep 01 2021 01: +0,0.454,403
Sep 01 2021 02: +0,0.475,267
Sep 01 2021 03: +0,0.48,204
Sep 01 2021 04: +0,0.475,381
Sep 01 2021 05: +0,0.468,180
Sep 01 2021 06: +0,0.48,414
Sep 01 2021 07: +0,0.48,400
Sep 01 2021 08: +0,0.48,260
Sep 01 2021 09: +0,0.48,626
Sep 01 2021 10: +0,0.471,431
Sep 01 2021 11: +0,0.468,725
Sep 01 2021 12: +0,0.468,242
Sep 01 2021 13: +0,0.47,605
Sep 01 2021 14: +0,0.462,915
Sep 01 2021 15: +0,0.477,1272
Sep 01 2021 16: +0,0.473,793
Sep 01 2021 17: +0,0.482,1121
Sep 01 2021 18: +0,0.482,926
Sep 01 2021 19: +0,0.48,721
Sep 01 2021 20: +0,0.485,1021
Sep 01 2021 21: +0,0.485,501
Sep 01 2021 22: +0,0.487,290
Sep 01 2021 23: +0,0.49,549
Sep 02 2021 00: +0,0.49,511
Sep 02 2021 01: +0,0.5,531
Sep 02 2021 02: +0,0.487,377
Sep 02 2021 03: +0,0.49,518
Sep 02 2021 04: +0,0.5,343
Sep 02 2021 05: +0,0.49,337
Sep 02 2021 06: +0,0.49,309
Sep 02 2021 07: +0,0.485,292
Sep 02 2021 08: +0,0.485,175
Sep 02 2021 09: +0,0.5,384
Sep 02 2021 10: +0,0.5,495
Sep 02 2021 11: +0,0.501,252
Sep 02 2021 12: +0,0.499,471
Sep 02 2021 13: +0,0.478,395
Sep 02 2021 14: +0,0.473,599
Sep 02 2021 15: +0,0.47,971
Sep 02 2021 16: +0,0.465,599
Sep 02 2021 17: +0,0.473,759
Sep 02 2021 18: +0,0.47,813
Sep 02 2021 19: +0,0.49,1961
Sep 02 2021 20: +0,0.483,713
Sep 02 2021 21: +0,0.486,973
Sep 02 2021 22: +0,0.486,448
Sep 02 2021 23: +0,0.49,497
Sep 03 2021 00: +0,0.48,254
Sep 03 2021 01: +0,0.48,250
Sep 03 2021 02: +0,0.48,207
Sep 03 2021 03: +0,0.489,374
Sep 03 2021 04: +0,0.5,586
Sep 03 2021 05: +0,0.48,332
Sep 03 2021 06: +0,0.49,576
Sep 03 2021 07: +0,0.492,486
Sep 03 2021 08: +0,0.488,575
Sep 03 2021 09: +0,0.496,838
Sep 03 2021 10: +0,0.492,1008
Sep 03 2021 11: +0,0.486,600
Sep 03 2021 12: +0,0.486,640
Sep 03 2021 13: +0,0.486,714
Sep 03 2021 14: +0,0.48,618
Sep 03 2021 15: +0,0.485,767
Sep 03 2021 16: +0,0.486,684
Sep 03 2021 17: +0,0.49,872
Sep 03 2021 18: +0,0.49,566
Sep 03 2021 19: +0,0.486,332
Sep 03 2021 20: +0,0.486,727
Sep 03 2021 21: +0,0.476,629
Sep 03 2021 22: +0,0.452,647
Sep 03 2021 23: +0,0.482,591
Sep 04 2021 00: +0,0.488,367
Sep 04 2021 01: +0,0.488,316
Sep 04 2021 02: +0,0.49,432
Sep 04 2021 03: +0,0.5,304
Sep 04 2021 04: +0,0.483,506
Sep 04 2021 05: +0,0.495,1010
Sep 04 2021 06: +0,0.494,660
Sep 04 2021 07: +0,0.476,543
Sep 04 2021 08: +0,0.494,875
Sep 04 2021 09: +0,0.49,684
Sep 04 2021 10: +0,0.489,513
Sep 04 2021 11: +0,0.483,351
Sep 04 2021 12: +0,0.476,496
Sep 04 2021 13: +0,0.483,737
Sep 04 2021 14: +0,0.488,800
Sep 04 2021 15: +0,0.484,616
Sep 04 2021 16: +0,0.484,614
Sep 04 2021 17: +0,0.476,592
Sep 04 2021 18: +0,0.488,1702
Sep 04 2021 19: +0,0.476,713
Sep 04 2021 20: +0,0.476,593
Sep 04 2021 21: +0,0.464,472
Sep 04 2021 22: +0,0.47,811
Sep 04 2021 23: +0,0.476,278
Sep 05 2021 00: +0,0.488,306
Sep 05 2021 01: +0,0.49,433
Sep 05 2021 02: +0,0.49,453
Sep 05 2021 03: +0,0.486,343
Sep 05 2021 04: +0,0.49,296
Sep 05 2021 05: +0,0.489,346
Sep 05 2021 06: +0,0.49,762
Sep 05 2021 07: +0,0.489,690
Sep 05 2021 08: +0,0.49,620
Sep 05 2021 09: +0,0.483,336
Sep 05 2021 10: +0,0.483,498
Sep 05 2021 11: +0,0.476,768
Sep 05 2021 12: +0,0.483,647
Sep 05 2021 13: +0,0.49,1531
Sep 05 2021 14: +0,0.483,828
Sep 05 2021 15: +0,0.484,1017
Sep 05 2021 16: +0,0.49,975
Sep 05 2021 17: +0,0.48,812
Sep 05 2021 18: +0,0.48,796
Sep 05 2021 19: +0,0.49,924
Sep 05 2021 20: +0,0.481,517
Sep 05 2021 21: +0,0.488,413
Sep 05 2021 22: +0,0.48,374
Sep 05 2021 23: +0,0.49,510
Sep 06 2021 00: +0,0.49,268
Sep 06 2021 01: +0,0.49,452
Sep 06 2021 02: +0,0.49,255
Sep 06 2021 03: +0,0.49,181
Sep 06 2021 04: +0,0.487,433
Sep 06 2021 05: +0,0.487,342
Sep 06 2021 06: +0,0.487,326
Sep 06 2021 07: +0,0.487,465
Sep 06 2021 08: +0,0.49,434
Sep 06 2021 09: +0,0.49,590
Sep 06 2021 10: +0,0.483,399
Sep 06 2021 11: +0,0.49,578
Sep 06 2021 12: +0,0.484,374
Sep 06 2021 13: +0,0.486,541
Sep 06 2021 14: +0,0.488,474
Sep 06 2021 15: +0,0.476,474
Sep 06 2021 16: +0,0.477,802
Sep 06 2021 17: +0,0.469,445
Sep 06 2021 18: +0,0.481,1082
Sep 06 2021 19: +0,0.48,928
Sep 06 2021 20: +0,0.473,863
Sep 06 2021 21: +0,0.464,702
Sep 06 2021 22: +0,0.476,306
Sep 06 2021 23: +0,0.47,312
Sep 07 2021 00: +0,0.465,366
Sep 07 2021 01: +0,0.473,370
Sep 07 2021 02: +0,0.464,412
Sep 07 2021 03: +0,0.478,285
Sep 07 2021 04: +0,0.47,146
Sep 07 2021 05: +0,0.46,347
Sep 07 2021 06: +0,0.47,247
Sep 07 2021 07: +0,0.464,719
Sep 07 2021 08: +0,0.469,336
Sep 07 2021 09: +0,0.464,284
Sep 07 2021 10: +0,0.471,290
Sep 07 2021 11: +0,0.47,712
Sep 07 2021 12: +0,0.47,520
Sep 07 2021 13: +0,0.474,610
Sep 07 2021 14: +0,0.47,736
Sep 07 2021 15: +0,0.47,636
Sep 07 2021 16: +0,0.469,895
Sep 07 2021 17: +0,0.469,567
Sep 07 2021 18: +0,0.464,761
Sep 07 2021 19: +0,0.464,1108
Sep 07 2021 20: +0,0.464,583
Sep 07 2021 21: +0,0.462,618
Sep 07 2021 22: +0,0.462,647
Sep 07 2021 23: +0,0.45,787
Sep 08 2021 00: +0,0.45,577
Sep 08 2021 01: +0,0.458,326
Sep 08 2021 02: +0,0.43,565
Sep 08 2021 03: +0,0.458,229
Sep 08 2021 04: +0,0.448,728
Sep 08 2021 05: +0,0.462,299
Sep 08 2021 06: +0,0.47,341
Sep 08 2021 07: +0,0.462,710
Sep 08 2021 08: +0,0.458,865
Sep 08 2021 09: +0,0.458,480
Sep 08 2021 10: +0,0.457,579
Sep 08 2021 11: +0,0.45,568
Sep 08 2021 12: +0,0.45,648
Sep 08 2021 13: +0,0.45,1181
Sep 08 2021 14: +0,0.45,1094
Sep 08 2021 15: +0,0.45,1082
Sep 08 2021 16: +0,0.451,888
Sep 08 2021 17: +0,0.45,1192
Sep 08 2021 18: +0,0.453,1314
Sep 08 2021 19: +0,0.441,1186
Sep 08 2021 20: +0,0.441,755
Sep 08 2021 21: +0,0.441,635
Sep 08 2021 22: +0,0.437,443
Sep 08 2021 23: +0,0.438,325
Sep 09 2021 00: +0,0.438,393
Sep 09 2021 01: +0,0.46,1426
Sep 09 2021 02: +0,0.449,401
Sep 09 2021 03: +0,0.46,399
Sep 09 2021 04: +0,0.449,351
Sep 09 2021 05: +0,0.457,523
Sep 09 2021 06: +0,0.457,392
Sep 09 2021 07: +0,0.458,200
Sep 09 2021 08: +0,0.458,382
Sep 09 2021 09: +0,0.456,263
Sep 09 2021 10: +0,0.448,465
Sep 09 2021 11: +0,0.442,700
Sep 09 2021 12: +0,0.455,1239
Sep 09 2021 13: +0,0.449,659
Sep 09 2021 14: +0,0.449,651
Sep 09 2021 15: +0,0.444,572
Sep 09 2021 16: +0,0.44,835
Sep 09 2021 17: +0,0.448,414
Sep 09 2021 18: +0,0.448,834
Sep 09 2021 19: +0,0.449,758
Sep 09 2021 20: +0,0.449,909
Sep 09 2021 21: +0,0.43,609
Sep 09 2021 22: +0,0.43,915
Sep 09 2021 23: +0,0.445,673
Sep 10 2021 00: +0,0.435,463
Sep 10 2021 01: +0,0.431,374
Sep 10 2021 02: +0,0.43,311
Sep 10 2021 03: +0,0.43,320
Sep 10 2021 04: +0,0.434,472
Sep 10 2021 05: +0,0.43,627
Sep 10 2021 06: +0,0.42,848
Sep 10 2021 07: +0,0.428,775
Sep 10 2021 08: +0,0.434,879
Sep 10 2021 09: +0,0.435,1108
Sep 10 2021 10: +0,0.437,867
Sep 10 2021 11: +0,0.449,615
Sep 10 2021 12: +0,0.449,847
Sep 10 2021 13: +0,0.437,629
Sep 10 2021 14: +0,0.446,475
Sep 10 2021 15: +0,0.443,993
Sep 10 2021 16: +0,0.426,1101
Sep 10 2021 17: +0,0.443,846
Sep 10 2021 18: +0,0.436,629
Sep 10 2021 19: +0,0.43,1099
Sep 10 2021 20: +0,0.429,1554
Sep 10 2021 21: +0,0.41,2201
Sep 10 2021 22: +0,0.438,850
Sep 10 2021 23: +0,0.449,634
Sep 11 2021 00: +0,0.438,671
Sep 11 2021 01: +0,0.41,2127
Sep 11 2021 02: +0,0.41,2330
Sep 11 2021 03: +0,0.452,1294
Sep 11 2021 04: +0,0.454,605
Sep 11 2021 05: +0,0.455,307
Sep 11 2021 06: +0,0.46,576
Sep 11 2021 07: +0,0.449,431
Sep 11 2021 08: +0,0.449,433
Sep 11 2021 09: +0,0.43,454
Sep 11 2021 10: +0,0.426,508
Sep 11 2021 11: +0,0.438,854
Sep 11 2021 12: +0,0.448,644
Sep 11 2021 13: +0,0.45,663
Sep 11 2021 14: +0,0.449,760
Sep 11 2021 15: +0,0.443,675
Sep 11 2021 16: +0,0.434,501
Sep 11 2021 17: +0,0.436,879
Sep 11 2021 18: +0,0.438,765
Sep 11 2021 19: +0,0.445,818
Sep 11 2021 20: +0,0.453,886
Sep 11 2021 21: +0,0.438,602
Sep 11 2021 22: +0,0.437,724
Sep 11 2021 23: +0,0.449,435
Sep 12 2021 00: +0,0.439,414
Sep 12 2021 01: +0,0.448,403
Sep 12 2021 02: +0,0.452,416
Sep 12 2021 03: +0,0.452,456
Sep 12 2021 04: +0,0.449,464
Sep 12 2021 05: +0,0.46,448
Sep 12 2021 06: +0,0.46,1200
Sep 12 2021 07: +0,0.453,828
Sep 12 2021 08: +0,0.453,723
Sep 12 2021 09: +0,0.449,574
Sep 12 2021 10: +0,0.449,666
Sep 12 2021 11: +0,0.448,722
Sep 12 2021 12: +0,0.438,540
Sep 12 2021 13: +0,0.443,520
Sep 12 2021 14: +0,0.449,542
Sep 12 2021 15: +0,0.438,670
Sep 12 2021 16: +0,0.448,882
Sep 12 2021 17: +0,0.438,836
Sep 12 2021 18: +0,0.443,801
Sep 12 2021 19: +0,0.438,912
Sep 12 2021 20: +0,0.438,578
Sep 12 2021 21: +0,0.41,641
Sep 12 2021 22: +0,0.438,480
Sep 12 2021 23: +0,0.438,420
Sep 13 2021 00: +0,0.436,365
Sep 13 2021 01: +0,0.446,216
Sep 13 2021 02: +0,0.438,240
Sep 13 2021 03: +0,0.448,135
Sep 13 2021 04: +0,0.452,195
Sep 13 2021 05: +0,0.448,243
Sep 13 2021 06: +0,0.447,399
Sep 13 2021 07: +0,0.449,241
Sep 13 2021 08: +0,0.437,888
Sep 13 2021 09: +0,0.45,453
Sep 13 2021 10: +0,0.45,592
Sep 13 2021 11: +0,0.438,381
Sep 13 2021 12: +0,0.448,767
Sep 13 2021 13: +0,0.442,457
Sep 13 2021 14: +0,0.443,393
Sep 13 2021 15: +0,0.436,403
Sep 13 2021 16: +0,0.437,803
Sep 13 2021 17: +0,0.414,1004
Sep 13 2021 18: +0,0.43,710
Sep 13 2021 19: +0,0.429,719
Sep 13 2021 20: +0,0.426,644
Sep 13 2021 21: +0,0.433,598
Sep 13 2021 22: +0,0.436,548
Sep 13 2021 23: +0,0.43,566
Sep 14 2021 00: +0,0.43,334
Sep 14 2021 01: +0,0.43,362
Sep 14 2021 02: +0,0.436,360
Sep 14 2021 03: +0,0.43,229
Sep 14 2021 04: +0,0.429,346
Sep 14 2021 05: +0,0.43,359
Sep 14 2021 06: +0,0.43,397
Sep 14 2021 07: +0,0.441,584
Sep 14 2021 08: +0,0.436,753
Sep 14 2021 09: +0,0.43,619
Sep 14 2021 10: +0,0.43,1505
Sep 14 2021 11: +0,0.44,967
Sep 14 2021 12: +0,0.448,763
Sep 14 2021 13: +0,0.449,844
Sep 14 2021 14: +0,0.446,832
Sep 14 2021 15: +0,0.448,899
Sep 14 2021 16: +0,0.448,1562
Sep 14 2021 17: +0,0.448,975
